description,crime_type
Fraud website scammed me,Cyber Crime
Unknown login attempts detected,Cyber Crime
My bank credentials were stolen online,Cyber Crime
Unknown login attempts detected,Cyber Crime
My bank credentials were stolen online,Cyber Crime
I received phishing emails,Cyber Crime
My bank credentials were stolen online,Cyber Crime
I received phishing emails,Cyber Crime
My social media account was hacked,Cyber Crime
Fraud website scammed me,Cyber Crime
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
A gang robbed a jewelry store,Robbery
Two men robbed a house,Robbery
They threatened me and took my valuables,Robbery
Cash stolen during a robbery attempt,Robbery
They threatened me and took my valuables,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
Two men robbed a house,Robbery
Cash stolen during a robbery attempt,Robbery
Cash stolen during a robbery attempt,Robbery
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
Cash stolen during a robbery attempt,Robbery
A gang robbed a jewelry store,Robbery
They threatened me and took my valuables,Robbery
Cash stolen during a robbery attempt,Robbery
A gang robbed a jewelry store,Robbery
Cash stolen during a robbery attempt,Robbery
Two men robbed a house,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
Armed robbery occurred near my shop,Robbery
A gang robbed a jewelry store,Robbery
Two men robbed a house,Robbery
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
Armed robbery occurred near my shop,Robbery
Two men robbed a house,Robbery
A gang robbed a jewelry store,Robbery
A gang robbed a jewelry store,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
Two men robbed a house,Robbery
A gang robbed a jewelry store,Robbery
Two men robbed a house,Robbery
Cash stolen during a robbery attempt,Robbery
Two men robbed a house,Robbery
Cash stolen during a robbery attempt,Robbery
Armed robbery occurred near my shop,Robbery
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
Two men robbed a house,Robbery
They threatened me and took my valuables,Robbery
A gang robbed a jewelry store,Robbery
They threatened me and took my valuables,Robbery
Two men robbed a house,Robbery
They threatened me and took my valuables,Robbery
A gang robbed a jewelry store,Robbery
Armed robbery occurred near my shop,Robbery
A gang robbed a jewelry store,Robbery
UPI fraud happened on my account,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
I was cheated in an online transaction,Fraud
Investment fraud targeted me,Fraud
I was cheated in an online transaction,Fraud
UPI fraud happened on my account,Fraud
UPI fraud happened on my account,Fraud
Investment fraud targeted me,Fraud
UPI fraud happened on my account,Fraud
Someone tricked me into sending money,Fraud
I was cheated in an online transaction,Fraud
Investment fraud targeted me,Fraud
UPI fraud happened on my account,Fraud
I was cheated in an online transaction,Fraud
I was cheated in an online transaction,Fraud
Someone tricked me into sending money,Fraud
I was cheated in an online transaction,Fraud
I was cheated in an online transaction,Fraud
UPI fraud happened on my account,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Investment fraud targeted me,Fraud
UPI fraud happened on my account,Fraud
Investment fraud targeted me,Fraud
I was cheated in an online transaction,Fraud
Investment fraud targeted me,Fraud
Someone tricked me into sending money,Fraud
Fake loan message scammed me,Fraud
Investment fraud targeted me,Fraud
Someone tricked me into sending money,Fraud
UPI fraud happened on my account,Fraud
Investment fraud targeted me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Investment fraud targeted me,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
UPI fraud happened on my account,Fraud
Fake loan message scammed me,Fraud
I was cheated in an online transaction,Fraud
I was cheated in an online transaction,Fraud
Investment fraud targeted me,Fraud
Fake loan message scammed me,Fraud
UPI fraud happened on my account,Fraud
UPI fraud happened on my account,Fraud
I was cheated in an online transaction,Fraud
Fake loan message scammed me,Fraud
Someone tricked me into sending money,Fraud
Someone tricked me into sending money,Fraud
I was cheated in an online transaction,Fraud
I was cheated in an online transaction,Fraud
Investment fraud targeted me,Fraud
UPI fraud happened on my account,Fraud
Fake loan message scammed me,Fraud
Fake loan message scammed me,Fraud
Hit and run case near the hospital,Accident
Bus accident injured many,Accident
Minor accident happened at the junction,Accident
Minor accident happened at the junction,Accident
Bus accident injured many,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
Hit and run case near the hospital,Accident
Two bikes collided on the road,Accident
Hit and run case near the hospital,Accident
Bus accident injured many,Accident
Minor accident happened at the junction,Accident
A car accident occurred near the signal,Accident
Two bikes collided on the road,Accident
Hit and run case near the hospital,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
A car accident occurred near the signal,Accident
Minor accident happened at the junction,Accident
A car accident occurred near the signal,Accident
Bus accident injured many,Accident
A car accident occurred near the signal,Accident
Bus accident injured many,Accident
A car accident occurred near the signal,Accident
Minor accident happened at the junction,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
Minor accident happened at the junction,Accident
Minor accident happened at the junction,Accident
Minor accident happened at the junction,Accident
Two bikes collided on the road,Accident
Hit and run case near the hospital,Accident
Hit and run case near the hospital,Accident
Two bikes collided on the road,Accident
Minor accident happened at the junction,Accident
Two bikes collided on the road,Accident
Minor accident happened at the junction,Accident
Two bikes collided on the road,Accident
Minor accident happened at the junction,Accident
Minor accident happened at the junction,Accident
A car accident occurred near the signal,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
A car accident occurred near the signal,Accident
Two bikes collided on the road,Accident
Two bikes collided on the road,Accident
Bus accident injured many,Accident
Bus accident injured many,Accident
Minor accident happened at the junction,Accident
Bus accident injured many,Accident
Bus accident injured many,Accident
Two bikes collided on the road,Accident
Hit and run case near the hospital,Accident
A car accident occurred near the signal,Accident
A car accident occurred near the signal,Accident
Two bikes collided on the road,Accident
Bus accident injured many,Accident
Two bikes collided on the road,Accident
Graffiti painted on the wall illegally,Vandalism
Someone damaged public property,Vandalism
Graffiti painted on the wall illegally,Vandalism
A group destroyed bicycles,Vandalism
Someone damaged public property,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
A group destroyed bicycles,Vandalism
Graffiti painted on the wall illegally,Vandalism
Someone damaged public property,Vandalism
Graffiti painted on the wall illegally,Vandalism
A group destroyed bicycles,Vandalism
Someone damaged public property,Vandalism
Car windows were smashed,Vandalism
Shops were vandalized at night,Vandalism
Car windows were smashed,Vandalism
A group destroyed bicycles,Vandalism
Car windows were smashed,Vandalism
Someone damaged public property,Vandalism
Graffiti painted on the wall illegally,Vandalism
Car windows were smashed,Vandalism
A group destroyed bicycles,Vandalism
Someone damaged public property,Vandalism
Someone damaged public property,Vandalism
Graffiti painted on the wall illegally,Vandalism
Car windows were smashed,Vandalism
Car windows were smashed,Vandalism
Shops were vandalized at night,Vandalism
Car windows were smashed,Vandalism
A group destroyed bicycles,Vandalism
Graffiti painted on the wall illegally,Vandalism
Shops were vandalized at night,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Shops were vandalized at night,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
A group destroyed bicycles,Vandalism
Graffiti painted on the wall illegally,Vandalism
Car windows were smashed,Vandalism
Car windows were smashed,Vandalism
A group destroyed bicycles,Vandalism
Someone damaged public property,Vandalism
Someone damaged public property,Vandalism
Shops were vandalized at night,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Car windows were smashed,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Someone damaged public property,Vandalism
Shops were vandalized at night,Vandalism
Shops were vandalized at night,Vandalism
Car windows were smashed,Vandalism
Car windows were smashed,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Graffiti painted on the wall illegally,Vandalism
Someone damaged public property,Vandalism
